VF_ID	log10(human/non_human)	Virulence_factor
VF0216	0.50716	EAST1 (VF0216)
VF0188	0.50716	EAST1 (VF0188)
CVF443	0.44278	NleC (CVF443)
CVF730	0.44278	NleG7 (CVF730)
CVF721	0.44278	NleG2-2 (CVF721)
CVF442	0.44278	NleA (CVF442)
CVF435	0.44278	Tir (CVF435)
VF0172	0.17486	TTSS (VF0172)
VF0206	0.44278	Stx (VF0206)
AI386	0.17486	SiiE (AI386)
TX441	-0.50895	Cyt1Aa (TX441)
VF0580	0.17486	CPAF (VF0580)
AI391	0.44278	Hsp70 (AI391)
TX380	0.44278	colicin B (TX380)
TX197	0.44278	ClyA (TX197)
CVF711	0.44278	EspY5 (CVF711)
CVF205	0.44278	Neisseria ADP-ribosylating enzyme (CVF205)
AI422	0.17486	GbpC (AI422)
TX277	-0.50895	Cry8Db (TX277)
TX356	-0.50895	Cry43Ba (TX356)
TX273	-0.50895	Cry8Bb (TX273)
CVF043	0.44278	Yersinia pse... [O-antigen (CVF043)
VF0421	0.44278	Staphylocoagulase (VF0421)
VF0284	0.44278	IdeS (VF0284)
AI208	0.44278	Fibronectin-binding protein (AI208)
AI162	0.17486	Fibronectin-binding protein (AI162)
AI092	0.44278	Kfc fimbriae (AI092)
TX109	0.44278	Staphylococcal enterotoxin C (SEC) (TX109)
AI161	-0.50895	Fibronectin-binding protein (AI161)
VF0443	0.44278	Vip (VF0443)
VF0066	0.44278	ActA (VF0066)
CVF539	-0.50895	Protease IV (CVF539)
VF0328	0.44278	MOMP (VF0328)
CVF432	0.44278	EspG (CVF432)
CVF720	0.36715	NleG-2 (CVF720)
CVF732	0.36715	NleH1-1 (CVF732)
CVF723	0.36715	NleG2-4 (CVF723)
CVF452	0.36715	Shiga-like toxin (CVF452)
TX446	-0.42669	Cyt2Ba (TX446)
TX447	-0.42669	Cyt2Bb (TX447)
TX444	-0.42669	Cyt1Ca (TX444)
TX379	0.36715	colicin A (TX379)
VF0448	0.08323	GtcA (VF0448)
AI277	0.36715	Fibrinogen binding protein (AI277)
AI269	0.36715	Fibrinogen binding protein (AI269)
TX257	-0.42669	Cry4Da (TX257)
TX276	-0.42669	Cry8Da (TX276)
TX270	-0.42669	Cry8Aa (TX270)
TX320	-0.42669	Cry28Aa (TX320)
TX275	-0.42669	Cry8Ca (TX275)
TX355	-0.42669	Cry43Aa (TX355)
TX279	-0.42669	Cry8Fa (TX279)
TX271	-0.42669	Cry8Ab (TX271)
TX376	-0.42669	Cry60Ba (TX376)
TX291	-0.42669	Cry10Aa (TX291)
TX369	-0.42669	Cry54Aa (TX369)
TX322	-0.42669	Cry30Aa (TX322)
TX357	-0.42669	Cry44Aa (TX357)
TX272	-0.42669	Cry8Ba (TX272)
TX274	-0.42669	Cry8Bc (TX274)
TX354	0.08323	Cry42Aa (TX354)
CVF559	-0.42669	Cytotoxin K (CVF559)
VF0502	0.36715	Sca4 (VF0502)
SSL3	0.36715	Superantigen-like protein (SSL3) (TX151)
VF0424	0.36715	CHIPS (VF0424)
AI446	0.36715	PblB (AI446)
AI039	0.36715	K99 pili/F5 fimbriae (AI039)
AI227	0.08323	Fibronectin-binding protein (AI227)
CVF663	-0.42669	Sigma D (CVF663)
CVF729	0.36715	NleG6-3 (CVF729)
AI221	0.36715	Fibronectin-binding protein (AI221)
VF0329	0.36715	JlpA (VF0329)
VF0301	-0.42669	HspX (VF0301)
SS046	0.36715	TFS3b (SS046)
VF0340	0.27553	NleC (VF0340)
CVF727	0.27553	NleG6-1 (CVF727)
CVF441	0.27553	EspJ (CVF441)
CVF722	0.27553	NleG2-3 (CVF722)
VF0177	0.27553	Intimin (VF0177)
VF0202	0.27553	Intimin (VF0202)
TX083	0.27553	Stx2 (TX083)
TX077	0.27553	Shiga-like toxin, Stx2c (TX077)
TX082	0.27553	SLTII (TX082)
TX081	0.27553	SLTII (TX081)
TX079	0.27553	Shiga-like toxin, Stx2e (TX079)
TX080	0.27553	Shiga-like toxin, Stx2f (TX080)
TX075	0.27553	Shiga-like toxin, Stx1c (TX075)
VF0117	0.27553	Shiga toxin (VF0117)
CVF439	0.27553	EspFu/TccP (Tir cytoskeleton coupling protein) (CVF439)
Hsp60	0.27553	GroEL1 (Hsp60) (AI393)
VF0217	-0.03304	Pet (VF0217)
TX006	-0.32512	vegetative insecticidal protein: vip2Ac, vip1Ac (TX006)
CVF726	0.27553	NleG5-2 (CVF726)
VF0490	0.27553	RickA (VF0490)
AI444	0.27553	PclA (AI444)
TX332	-0.32512	Cry32Aa (TX332)
TX267	-0.32512	Cry7Ba1 (TX267)
TX333	-0.32512	Cry32Ba (TX333)
TX335	-0.32512	Cry32Da (TX335)
TX334	-0.32512	Cry32Ca (TX334)
TX280	-0.32512	Cry8Ga (TX280)
TX278	-0.32512	Cry8Ea (TX278)
TX289	-0.32512	Cry9Ec (TX289)
TX283	-0.32512	Cry9Bb (TX283)
TX375	-0.32512	Cry60Aa (TX375)
TX323	-0.32512	Cry30Ba (TX323)
TX326	-0.32512	Cry30Db (TX326)
TX304	-0.32512	Cry19Aa (TX304)
TX325	-0.32512	Cry30Da (TX325)
TX348	-0.32512	Cry39Aa (TX348)
TX251	-0.32512	Cry3Aa (TX251)
TX292	-0.32512	Cry11Aa (TX292)
TX294	-0.32512	Cry11Bb (TX294)
TX293	-0.32512	Cry11Ba (TX293)
TX366	-0.32512	Cry50Aa (TX366)
TX318	-0.32512	Cry26Aa (TX318)
AI282	-0.03304	Fibrinogen binding protein (AI282)
CVF337	-0.32512	Mce2 (CVF337)
VF0213	0.27553	Adhesive fimbriae (VF0213)
CVF267	0.27553	Hemolysin/cytolysin (CVF267)
TX462	-0.03304	VTH (TX462)
CVF877	0.27553	SCIN (CVF877)
VF0425	0.27553	SCIN (VF0425)
TX435	0.27553	<delta>-toxin (TX435)
VF0023	0.27553	V8 protease (VF0023)
CVF088	0.27553	Delta hemolysin (CVF088)
VF0255	0.27553	SIC (VF0255)
CVF185	0.27553	SIC (CVF185)
TX384	0.27553	colicin N (TX384)
TX388	0.27553	colicin Y (TX388)
TX387	0.27553	colicin U (TX387)
TX386	0.27553	colicin S4 (TX386)
VF0577	0.27553	InlP (VF0577)
VF0498	0.27553	Sca1 (VF0498)
CVF131	0.27553	Cell surface hydrophobicity proteins (CVF131)
AI289	-0.03304	collagen-binding protein (AI289)
VF0162	0.27553	pmiA (VF0162)
SS173	0.27553	TaaP (SS173)
CVF696	0.27553	EspR1 (CVF696)
TX025	0.27553	Cholix (TX025)
CVF725	0.15926	NleG5-1 (CVF725)
VF0338	0.15926	NleA/EspI (VF0338)
VF0339	0.15926	NleA/EspI (VF0339)
CVF691	0.15926	EspM1 (CVF691)
CVF718	0.15926	NleF (CVF718)
TX078	0.15926	Shiga-like toxin, Stx2d (TX078)
CVF686	0.15926	TccP2 (CVF686)
CVF695	0.15926	EspO1-2 (CVF695)
TX268	-0.19230	Cry7Ca1 (TX268)
TX266	-0.19230	Cry7Ab (TX266)
TX269	-0.19230	Cry7Da1 (TX269)
TX265	-0.19230	Cry7Aa (TX265)
TX363	-0.19230	Cry48Ab (TX363)
TX362	-0.19230	Cry48Aa (TX362)
TX305	-0.19230	Cry19Ba (TX305)
TX252	-0.19230	Cry3Ba (TX252)
TX442	-0.19230	Cyt1Ab (TX442)
TX211	-0.19230	Cry1Bb (TX211)
TX212	-0.19230	Cry1Bc (TX212)
TX213	-0.19230	Cry1Bd (TX213)
TX232	-0.19230	Cry1Ib (TX232)
TX241	-0.19230	Cry1Ka (TX241)
TX234	-0.19230	Cry1Id (TX234)
TX231	-0.19230	Cry1Ia (TX231)
TX235	-0.19230	Cry1Ie (TX235)
TX216	-0.19230	Cry1Bg (TX216)
TX361	-0.19230	Cry47Aa (TX361)
TX243	-0.19230	Cry1Ma (TX243)
TX215	-0.19230	Cry1Bf (TX215)
TX324	-0.19230	Cry30Ca (TX324)
TX287	-0.19230	Cry9Ea (TX287)
TX368	-0.19230	Cry52Ba (TX368)
TX290	-0.19230	Cry9Ed (TX290)
TX371	-0.19230	Cry56Aa (TX371)
TX321	-0.19230	Cry29Aa (TX321)
TX352	-0.19230	Cry41Aa (TX352)
TX353	-0.19230	Cry41Ab (TX353)
VF0535	-0.19230	CytK (VF0535)
TX242	-0.19230	Cry1La (TX242)
TX237	-0.19230	Cry1Ja (TX237)
TX297	-0.19230	Cry14Aa (TX297)
TX230	-0.19230	Cry1Hb (TX230)
TX205	-0.19230	Cry1Ae (TX205)
VF0067	-0.19230	PlcB (VF0067)
TX328	-0.19230	Cry30Fa (TX328)
TX327	-0.19230	Cry30Ea (TX327)
TX208	-0.19230	Cry1Ah (TX208)
TX374	-0.19230	Cry59Aa (TX374)
TX315	-0.19230	Cry24Ba (TX315)
TX314	-0.19230	Cry24Aa (TX314)
TX225	-0.19230	Cry1Fb (TX225)
TX224	-0.19230	Cry1Fa (TX224)
TX203	-0.19230	Cry1Ac (TX203)
TX285	-0.19230	Cry9Da (TX285)
TX428	0.15926	necrotic enteritis toxin B (NetB) (TX428)
CVF336	-0.19230	Mce1 (CVF336)
TX459	0.15926	VVH (TX459)
VF0423	0.15926	Sbi (VF0423)
VF0022	0.15926	TSST-1 (VF0022)
AI205	0.15926	Fibronectin-binding protein (AI205)
AI447	0.15926	lipoprotein of Streptococcus pyogenes (Lsp) (AI447)
CVF151	0.15926	Streptococcal phospholipase A2 (CVF151)
CVF070	0.15926	Enterotoxin-like Q (CVF070)
CVF160	0.15926	Streptococcal pyrogenic exotoxin I (CVF160)
TX140	0.15926	S. equi pyrogenic exotoxin I (SePE-I) (TX140)
CVF074	0.15926	Enterotoxin Yent2 (CVF074)
TX414	0.15926	botulinolysin E3 (BLYe) (TX414)
TX413	0.15926	botulinolysin B (BLYb) (TX413)
VF0311	-0.19230	Antigen 85 (VF0311)
TX396	0.15926	seeligeriolysin O (LSO) (TX396)
VF0288	-0.19230	WhiB3 (VF0288)
VF0495	0.15926	Sca2 (VF0495)
VF0192	-0.19230	Ler (VF0192)
VF0440	0.15926	LntA (VF0440)
AI021	-0.19230	coli surface antigen CS3 (AI021)
TX409	-0.19230	lectinolysin (LLY) (TX409)
VF0305	-0.19230	SodC (VF0305)
CVF510	-0.19230	Surface-anchored pilus proteins (CVF510)
AI184	-0.19230	Fibronectin-binding protein (AI184)
VF0205	0.15926	Cif (VF0205)
CVF594	0.15926	Vmm (CVF594)
AI343	0.15926	Legionella collagen-like protein (Lcl) (AI343)
SS211	0.15926	lsp (SS211)
VF0524	0.15926	PavB (VF0524)
CVF118	0.15926	R6 surface protein (CVF118)
SS148	0.15926	DsrA (SS148)
AI038	0.15926	987P fimbriae/ F6 fimbriae (AI038)
TX050	0.15926	Ec-CDT (cytolethal distending toxin)-I (TX050)
VF0193	0.15926	Tir (VF0193)
VF0201	0.15926	EspG (VF0201)
VF0200	0.15926	EspD (VF0200)
CVF702	0.15926	EspX2 (CVF702)
TX198	0.15926	ClyA (TX198)
AI036	0.15926	CS31A capsule-like antigen (AI036)
